name,image_path
Wolf,/logos/wolf-head.svg
Paladin,/logos/closed-barbute.svg
Wyvern,/logos/wyvern.svg
Engel,/logos/angel-outfit.svg
Klaue,/logos/bird-claw.svg
Krone,/logos/crowned-skull.svg
Flügel,/logos/curly-wing.svg
Schädel,/logos/desert-skull.svg
Drache,/logos/dragon-head.svg
Herz,/logos/heartburn.svg
Bison,/logos/bison.svg
Pferd,/logos/horse-head.svg
Spinne,/logos/mite.svg
Schwert,/logos/relic-blade.svg
Hai,/logos/shark-jaws.svg
Feuer,/logos/small-fire.svg
Turm,/logos/stone-tower.svg
Tiger,/logos/tiger-head.svg
Tornado,/logos/whirlwind.svg
Schild,/logos/checked-shield.svg
